   3,  -1,  -1
   0,  -1,  -1
   3,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
  14,   4,  -1
   0,   1,  -1
   0,  -1,  -1
   4,  -1,  -1
   6,  -1,  -1
   1,   0,  -1
   0,  -1,  -1
   1,  -1,  -1
   0,   5,  -1
   4,  -1,  -1
   0,  -1,  -1
  -1,  -1,  -1
   9,   0,   1
   6,  -1,  -1
   0,  -1,  -1
   0,   1,  -1
   6,  -1,  -1
   0,  -1,  -1
   1,  -1,  -1
  11,   0,  -1
   5,   1,  -1
   1,   0,   2
   1,  -1,  -1
  11,  -1,  -1
   5,   3,  -1
   2,  -1,  -1
   0,   1,  -1
   1,   2,  -1
   5,  12,  -1
   0,  -1,  -1
   2,  -1,  -1
  15,  -1,  -1
   4,  -1,  -1
   5,   3,  -1
  -1,  -1,  -1
   3,  -1,  -1
  10,   3,  -1
   1,  -1,  -1
  -1,  -1,  -1
  -1,  -1,  -1
  12,   6,  -1
   3,  -1,  -1
   4,   5,  -1
   9,  -1,  -1
   5,  -1,  -1
   0,   1,   8
   0,  -1,  -1
   5,  -1,  -1
   3,  -1,  -1
   0,  -1,  -1
   0,   8,  -1
   0,  -1,  -1
   4,   3,  -1
   1,  -1,  -1
   5,  -1,  -1
   0,  -1,  -1
   5,  12,  -1
   4,  -1,  -1
   0,  -1,  -1
   5,   1,  -1
   0,  -1,  -1
   2,  -1,  -1
   2,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   1,  -1,  -1
   1,   0,  -1
   2,  -1,  -1
   8,   0,  -1
   5,   2,  -1
   5,  -1,  -1
   0,  -1,  -1
   3,  -1,  -1
   3,  -1,  -1
   2,  -1,  -1
   1,   0,  -1
  -1,  -1,  -1
   5,  -1,  -1
   5,  -1,  -1
   5,  -1,  -1
  10,  -1,  -1
  -1,  -1,  -1
  -1,  -1,  -1
   7,  -1,  -1
   0,  -1,  -1
   2,  -1,  -1
   6,  -1,  -1
   1,   0,  -1
   1,   5,  -1
   0,  -1,  -1
   2,  -1,  -1
   0,  15,  -1
   0,  -1,  -1
   5,  -1,  -1
   5,  -1,  -1
   0,  -1,  -1
   0,   1,  -1
  11,  -1,  -1
   0,  -1,  -1
   5,  -1,  -1
   5,  -1,  -1
   3,   7,  -1
   3,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   5,  -1,  -1
   0,  -1,  -1
   5,   1,   4
   1,  -1,  -1
   5,  -1,  -1
   1,  -1,  -1
   3,  -1,  -1
   2,  -1,  -1
   5,  -1,  -1
   7,   2,  -1
   1,   2,  -1
   0,  11,  -1
   0,  -1,  -1
   2,   1,  -1
   0,   9,  -1
   5,  -1,  -1
   3,   7,  -1
   7,   2,  -1
   7,   5,  -1
   1,  -1,  -1
   0,  -1,  -1
   3,  10,  -1
  10,   2,  -1
   0,  11,  -1
   0,  -1,  -1
   0,  -1,  -1
   0,   5,  -1
   1,  -1,  -1
   5,  -1,  -1
   1,  -1,  -1
   0,  -1,  -1
   7,   3,  -1
   3,  -1,  -1
   2,   1,  -1
  -1,  -1,  -1
  -1,  -1,  -1
   7,   3,  -1
   2,  -1,  -1
   4,  -1,  -1
  -1,  -1,  -1
   3,  -1,  -1
   2,   7,  -1
   0,  -1,  -1
   3,  -1,  -1
   4,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   5,  -1,  -1
   0,  -1,  -1
   4,   5,  -1
   6,   2,  -1
   2,  -1,  -1
   2,  -1,  -1
   3,  -1,  -1
   3,  -1,  -1
   3,  -1,  -1
   2,   7,  -1
  11,   0,  -1
   0,  -1,  -1
   0,  -1,  -1
   0,   1,  -1
   4,  -1,  -1
   0,  -1,  -1
   3,  -1,  -1
   4,  -1,  -1
   2,  -1,  -1
   5,  -1,  -1
   6,  -1,  -1
   0,   5,  -1
   0,  -1,  -1
   2,  -1,  -1
   5,   0,  -1
   9,  -1,  -1
   0,  -1,  -1
   1,  -1,  -1
  -1,  -1,  -1
   0,  -1,  -1
   5,  -1,  -1
   2,  -1,  -1
   1,  -1,  -1
   2,  -1,  -1
   4,   3,  -1
   5,   0,  -1
   1,  -1,  -1
  -1,  -1,  -1
   1,  -1,  -1
   0,  -1,  -1
  10,   1,  -1
  14,  -1,  -1
   1,  -1,  -1
   8,  -1,  -1
   0,   1,  -1
   5,  -1,  -1
   1,   0,  -1
   0,  -1,  -1
  11,  -1,  -1
   4,  -1,  -1
  11,   0,  -1
  12,   5,  -1
   0,  -1,  -1
   0,  -1,  -1
   9,  -1,  -1
   5,  -1,  -1
   2,  -1,  -1
   9,  -1,  -1
   0,   9,  -1
   6,  -1,  -1
   4,  -1,  -1
   7,   2,  -1
   1,   2,  -1
   0,  -1,  -1
   5,  -1,  -1
  12,  -1,  -1
   7,   2,  -1
   4,   5,  -1
   7,  -1,  -1
  -1,  -1,  -1
   4,  -1,  -1
   2,  -1,  -1
  11,   0,  -1
   0,  -1,  -1
   8,  -1,  -1
  -1,  -1,  -1
   4,  -1,  -1
  -1,  -1,  -1
   0,  -1,  -1
   6,  -1,  -1
   5,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   5,  -1,  -1
   3,  -1,  -1
   4,   5,  -1
   1,   0,  -1
   6,   4,  -1
   2,   1,  -1
   0,  -1,  -1
   0,  -1,  -1
   6,  -1,  -1
   6,  -1,  -1
   5,  -1,  -1
   0,  11,  -1
   1,  -1,  -1
   5,  -1,  -1
   1,  -1,  -1
   5,   3,   4
   6,  -1,  -1
   1,  -1,  -1
   2,  -1,  -1
   2,   4,  -1
  11,  -1,  -1
   0,  -1,  -1
   2,  -1,  -1
   4,  -1,  -1
   0,  -1,  -1
   1,   9,  -1
   2,  -1,  -1
   3,  -1,  -1
   0,  -1,  -1
   4,  -1,  -1
   0,   5,  -1
   0,  -1,  -1
   0,  -1,  -1
   0,   1,  -1
  12,   9,  -1
   0,   1,  -1
   4,  -1,  -1
   1,  -1,  -1
   3,   1,  -1
   0,  -1,  -1
   3,  -1,  -1
   5,  -1,  -1
   2,  -1,  -1
   0,  -1,  -1
   7,  -1,  -1
   2,  -1,  -1
   5,   2,  -1
   8,   1,  -1
   5,  -1,  -1
   0,   1,  -1
   2,   5,  -1
   0,  -1,  -1
   4,  -1,  -1
   8,  -1,  -1
   0,  -1,  -1
   7,   2,  -1
   9,  -1,  -1
   1,  -1,  -1
   0,  -1,  -1
   1,   5,  -1
   5,  -1,  -1
   3,  -1,  -1
   0,  -1,  -1
  12,  -1,  -1
   6,  -1,  -1
   1,   4,  -1
   0,  -1,  -1
   1,   5,   8
   4,  -1,  -1
   4,   6,  -1
   4,  -1,  -1
   0,  -1,  -1
   1,   2,  -1
   0,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   5,   2,  -1
   4,  -1,  -1
   8,  -1,  -1
  11,  -1,  -1
   3,   5,  -1
   0,   9,  -1
   0,  -1,  -1
   0,  -1,  -1
   1,   2,  -1
   1,  -1,  -1
   7,   5,  -1
   1,  -1,  -1
   5,  -1,  -1
  10,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   5,   8,  -1
   5,   4,  -1
   5,   4,  11
   0,  -1,  -1
   0,  -1,  -1
   3,  -1,  -1
   1,  -1,  -1
  11,  -1,  -1
   2,  -1,  -1
  -1,  -1,  -1
  10,  -1,  -1
   1,   2,  -1
   5,  -1,  -1
   3,   2,  -1
   0,   7,  -1
  -1,  -1,  -1
   4,  -1,  -1
   0,  11,  -1
   0,  -1,  -1
  15,   0,  -1
   4,  -1,  -1
  -1,  -1,  -1
   5,  -1,  -1
   0,  -1,  -1
   4,   1,  -1
   2,  -1,  -1
   2,  -1,  -1
   2,  -1,  -1
   5,  -1,  -1
   0,  -1,  -1
   7,  -1,  -1
  10,  -1,  -1
   3,  -1,  -1
   1,  -1,  -1
   2,  -1,  -1
   0,   3,  -1
   0,  -1,  -1
   1,   0,  -1
   0,  -1,  -1
   6,   9,  -1
   4,  -1,  -1
   5,   1,  -1
   2,  -1,  -1
   0,  -1,  -1
   3,   0,  -1
  -1,  -1,  -1
   4,   3,  -1
   6,  -1,  -1
   2,  -1,  -1
  -1,  -1,  -1
   7,   2,  -1
   1,  -1,  -1
   6,  -1,  -1
   5,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   1,   4,  -1
   9,   2,  -1
   0,  -1,  -1
  11,   0,  -1
   3,  -1,  -1
  13,   0,  -1
   0,  11,  -1
   4,  -1,  -1
   4,   5,  -1
   1,   8,  -1
   6,   3,  -1
   0,  -1,  -1
   0,  -1,  -1
  11,  -1,  -1
   5,  -1,  -1
   9,  -1,  -1
   7,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   7,   1,  -1
   5,  -1,  -1
   1,  -1,  -1
   1,   0,  -1
   4,   5,  -1
   2,  -1,  -1
   1,  -1,  -1
   1,  -1,  -1
  11,   3,  -1
  -1,  -1,  -1
   3,   2,  -1
   1,  -1,  -1
  -1,  -1,  -1
  -1,  -1,  -1
  13,  -1,  -1
   1,  -1,  -1
   8,  -1,  -1
   1,   8,  -1
   4,   5,  -1
   6,  -1,  -1
   1,   5,  -1
   3,  -1,  -1
   2,  -1,  -1
   0,  -1,  -1
   5,  -1,  -1
   0,   1,  -1
   5,  -1,  -1
   4,  -1,  -1
   4,   1,  -1
   8,   5,  -1
   0,   9,  -1
   4,  -1,  -1
   3,  -1,  -1
   7,  -1,  -1
   3,   4,  -1
   0,  -1,  -1
   0,   9,  -1
   5,   4,  -1
   0,  -1,  -1
   5,   4,  -1
   0,  -1,  -1
   1,   5,  -1
   2,  -1,  -1
   9,  -1,  -1
   1,  -1,  -1
   6,  -1,  -1
   0,  -1,  -1
   2,  -1,  -1
   6,  -1,  -1
  14,  -1,  -1
   6,  -1,  -1
   2,  -1,  -1
   0,  11,  -1
   8,  -1,  -1
   5,  -1,  -1
   6,  -1,  -1
   0,  -1,  -1
   1,   2,  -1
   2,  -1,  -1
   2,  -1,  -1
   0,  -1,  -1
  -1,  -1,  -1
   9,  -1,  -1
   9,  -1,  -1
   4,  -1,  -1
  11,  -1,  -1
   5,  -1,  -1
   1,  -1,  -1
   9,  -1,  -1
   7,  -1,  -1
   1,  -1,  -1
  10,  -1,  -1
   0,   9,  -1
   2,   1,  -1
   6,  -1,  -1
  10,   0,   1
   6,  -1,  -1
   6,  -1,  -1
   2,  -1,  -1
   5,   2,  -1
  11,   4,   5
   5,  -1,  -1
   8,  -1,  -1
   5,  -1,  -1
   3,  -1,  -1
   2,  -1,  -1
   6,  -1,  -1
  12,  -1,  -1
   0,  -1,  -1
   1,  -1,  -1
   5,  11,  -1
   0,  -1,  -1
   1,   0,  -1
   0,  -1,  -1
   5,  -1,  -1
   3,  -1,  -1
   0,   1,  -1
   6,  -1,  -1
   5,  -1,  -1
   6,  -1,  -1
   0,  -1,  -1
   4,  11,  -1
  11,   0,  -1
   5,  -1,  -1
   4,  -1,  -1
   6,  -1,  -1
   0,  -1,  -1
   0,  11,  -1
   5,  -1,  -1
   0,  11,  -1
   1,  -1,  -1
   1,   2,  -1
   1,   4,  -1
   4,  -1,  -1
  10,   5,  -1
  10,   2,  -1
   6,   3,  -1
   3,  -1,  -1
   4,  -1,  -1
   3,   2,  -1
   2,  10,  -1
   0,  -1,  -1
  10,   3,  -1
   0,  10,  -1
   1,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   2,  -1,  -1
   0,  -1,  -1
   5,  -1,  -1
   1,   5,  -1
   0,   1,  -1
  10,   2,  -1
   1,  -1,  -1
   0,  -1,  -1
   1,  -1,  -1
   1,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   3,   0,  -1
   0,   8,  -1
   2,  -1,  -1
   8,  -1,  -1
   0,   1,  -1
   3,   6,  -1
   4,  -1,  -1
   3,  -1,  -1
   5,  -1,  -1
   5,  -1,  -1
   0,  -1,  -1
   0,  -1,  -1
   2,  -1,  -1
   9,  -1,  -1
   5,   4,  -1
   7,   2,  -1
   0,   7,  -1
  14,  -1,  -1
   5,   3,  -1
   5,  -1,  -1
   6,  -1,  -1
   2,  -1,  -1
